2026-03-12 16:40:26.321 | INFO     | graph:node_generate_fun_fact:277 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Generate Fun Fact for 'goldfish'
2026-03-12 16:40:26.322 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'goldfish' (model=gemini-3.1-flash-lite-preview)
2026-03-12 16:40:44.200 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 17.878s | text_length=1826
2026-03-12 16:40:44.200 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'goldfish'
2026-03-12 16:40:46.360 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 2.160s
2026-03-12 16:40:46.361 | INFO     | stream.fun_fact:cache_fun_fact:78 | [FUN_FACT] Cached 4 fun facts for 'goldfish'
2026-03-12 16:40:46.361 | INFO     | stream.fun_fact:generate_fun_fact:206 | [FUN_FACT] Success for 'goldfish' | facts_count=4, selected='Did you know that goldfish can recognize their owners and ge...'
2026-03-12 16:40:46.361 | INFO     | graph:node_generate_fun_fact:288 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Generate Fun Fact finished in 20.040s
2026-03-12 16:40:46.362 | INFO     | graph:node_generate_intro:303 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Generate Intro for 'goldfish'
2026-03-12 16:40:46.362 | INFO     | stream.question_generators:ask_introduction_question_stream:66 | ask_introduction_question_stream started | object=goldfish, age=6, has_fun_fact=True
2026-03-12 16:40:46.363 | DEBUG    | stream.question_generators:ask_introduction_question_stream:94 | Messages prepared for API | count=2
2026-03-12 16:40:46.363 | DEBUG    | stream.question_generators:ask_introduction_question_stream:105 | Sending 1 messages to Gemini API
2026-03-12 16:40:46.363 | DEBUG    | stream.question_generators:ask_introduction_question_stream:122 | Stream object type: async_generator
2026-03-12 16:40:52.311 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 1 | length=4, total_length=4
2026-03-12 16:40:52.311 | INFO     | graph:stream_generator_to_callback:351 | [542ea082-c904-42a1-a9f1-040e46f1d421] TTFT: 25.991s for introduction
2026-03-12 16:40:52.392 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 2 | length=23, total_length=27
2026-03-12 16:40:52.435 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 3 | length=56, total_length=83
2026-03-12 16:40:52.482 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 4 | length=43, total_length=126
2026-03-12 16:40:52.540 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 5 | length=75, total_length=201
2026-03-12 16:40:52.596 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 6 | length=60, total_length=261
2026-03-12 16:40:52.637 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 7 | length=37, total_length=298
2026-03-12 16:40:53.005 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 8 | length=41, total_length=339
2026-03-12 16:40:53.006 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 9 | length=20, total_length=359
2026-03-12 16:40:53.008 | DEBUG    | stream.question_generators:ask_introduction_question_stream:142 | Gemini streaming API does not provide token usage in stream mode
2026-03-12 16:40:53.009 | DEBUG    | stream.question_generators:ask_introduction_question_stream:161 | Cleaned up stream via del in finally block
2026-03-12 16:40:53.009 | INFO     | stream.question_generators:ask_introduction_question_stream:166 | ask_introduction_question_stream completed | duration=6.647s, response_length=359
2026-03-12 16:40:53.009 | WARNING  | stream.question_generators:ask_introduction_question_stream:172 | Slow LLM call | duration=6.647s exceeded threshold 5.0s
2026-03-12 16:40:53.009 | INFO     | graph:stream_generator_to_callback:403 | [542ea082-c904-42a1-a9f1-040e46f1d421] Stream finished in 6.647s for introduction
2026-03-12 16:40:53.009 | INFO     | graph:node_generate_intro:325 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Generate Intro finished in 6.647s
2026-03-12 16:40:53.011 | INFO     | graph:node_finalize:1185 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Finalize
2026-03-12 16:40:53.011 | INFO     | graph:node_finalize:1241 | [542ea082-c904-42a1-a9f1-040e46f1d421] Node: Finalize finished in 0.000s
2026-03-12 16:58:37.418 | INFO     | stream.question_generators:ask_introduction_question_stream:66 | ask_introduction_question_stream started | object=apple, age=4, has_fun_fact=False
2026-03-12 16:58:37.419 | DEBUG    | stream.question_generators:ask_introduction_question_stream:94 | Messages prepared for API | count=2
2026-03-12 16:58:37.419 | DEBUG    | stream.question_generators:ask_introduction_question_stream:105 | Sending 1 messages to Gemini API
2026-03-12 16:58:37.419 | DEBUG    | stream.question_generators:ask_introduction_question_stream:122 | Stream object type: async_generator
2026-03-12 16:58:44.047 | ERROR    | stream.question_generators:ask_introduction_question_stream:146 | answer_question_stream LLM error | error=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')), duration=6.628s
2026-03-12 16:58:44.048 | DEBUG    | stream.question_generators:ask_introduction_question_stream:161 | Cleaned up stream via del in finally block
2026-03-12 16:58:44.052 | INFO     | stream.question_generators:ask_introduction_question_stream:66 | ask_introduction_question_stream started | object=telescope, age=6, has_fun_fact=False
2026-03-12 16:58:44.053 | DEBUG    | stream.question_generators:ask_introduction_question_stream:94 | Messages prepared for API | count=2
2026-03-12 16:58:44.053 | DEBUG    | stream.question_generators:ask_introduction_question_stream:105 | Sending 1 messages to Gemini API
2026-03-12 16:58:44.054 | DEBUG    | stream.question_generators:ask_introduction_question_stream:122 | Stream object type: async_generator
2026-03-12 16:58:49.708 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 1 | length=3, total_length=3
2026-03-12 16:58:49.726 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 2 | length=15, total_length=18
2026-03-12 16:58:49.772 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 3 | length=35, total_length=53
2026-03-12 16:58:49.809 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 4 | length=37, total_length=90
2026-03-12 16:58:49.851 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 5 | length=35, total_length=125
2026-03-12 16:58:49.892 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 6 | length=39, total_length=164
2026-03-12 16:58:50.230 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 7 | length=36, total_length=200
2026-03-12 16:58:50.231 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 8 | length=15, total_length=215
2026-03-12 16:58:50.233 | DEBUG    | stream.question_generators:ask_introduction_question_stream:142 | Gemini streaming API does not provide token usage in stream mode
2026-03-12 16:58:50.234 | DEBUG    | stream.question_generators:ask_introduction_question_stream:161 | Cleaned up stream via del in finally block
2026-03-12 16:58:50.234 | INFO     | stream.question_generators:ask_introduction_question_stream:166 | ask_introduction_question_stream completed | duration=6.182s, response_length=215
2026-03-12 16:58:50.235 | WARNING  | stream.question_generators:ask_introduction_question_stream:172 | Slow LLM call | duration=6.182s exceeded threshold 5.0s
2026-03-12 16:58:50.239 | INFO     | stream.question_generators:ask_introduction_question_stream:66 | ask_introduction_question_stream started | object=butterfly, age=5, has_fun_fact=False
2026-03-12 16:58:50.240 | DEBUG    | stream.question_generators:ask_introduction_question_stream:94 | Messages prepared for API | count=2
2026-03-12 16:58:50.240 | DEBUG    | stream.question_generators:ask_introduction_question_stream:105 | Sending 1 messages to Gemini API
2026-03-12 16:58:50.243 | DEBUG    | stream.question_generators:ask_introduction_question_stream:122 | Stream object type: async_generator
2026-03-12 16:58:50.247 | ERROR    | stream.question_generators:ask_introduction_question_stream:146 | answer_question_stream LLM error | error=Event loop is closed, duration=0.009s
2026-03-12 16:58:50.248 | DEBUG    | stream.question_generators:ask_introduction_question_stream:161 | Cleaned up stream via del in finally block
2026-03-12 16:58:50.250 | INFO     | stream.question_generators:ask_introduction_question_stream:66 | ask_introduction_question_stream started | object=bicycle, age=7, has_fun_fact=False
2026-03-12 16:58:50.251 | DEBUG    | stream.question_generators:ask_introduction_question_stream:94 | Messages prepared for API | count=2
2026-03-12 16:58:50.251 | DEBUG    | stream.question_generators:ask_introduction_question_stream:105 | Sending 1 messages to Gemini API
2026-03-12 16:58:50.251 | DEBUG    | stream.question_generators:ask_introduction_question_stream:122 | Stream object type: async_generator
2026-03-12 16:58:53.234 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 1 | length=4, total_length=4
2026-03-12 16:58:53.239 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 2 | length=19, total_length=23
2026-03-12 16:58:53.240 | DEBUG    | stream.question_generators:ask_introduction_question_stream:137 | Chunk 3 | length=41, total_length=64
