2026-02-17 14:09:50.321 | INFO     | graph:node_generate_fun_fact:230 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Fun Fact for 'apple'
2026-02-17 14:09:50.323 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.5-flash-lite)
2026-02-17 14:09:50.323 | ERROR    | stream.fun_fact:generate_fun_fact:157 | [FUN_FACT] Step 1 (grounding) failed for 'apple': 'MockGeminiClient' object has no attribute 'aio'
2026-02-17 14:09:50.323 | INFO     | graph:node_generate_fun_fact:245 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Fun Fact finished in 0.002s
2026-02-17 14:09:50.323 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-02-17 14:09:50.323 | INFO     | graph:node_generate_response:446 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Response (introduction)
2026-02-17 14:09:50.323 | ERROR    | theme_classifier:classify_object_to_theme:78 | [THEME_CLASSIFY] Error classifying object: Expecting value: line 1 column 1 (char 0)
2026-02-17 14:09:50.323 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-02-17 14:09:50.323 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-17 14:09:50.323 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-17 14:09:50.324 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: MockStream
2026-02-17 14:09:50.324 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=5, total_length=5
2026-02-17 14:09:50.324 | INFO     | graph:stream_generator_to_callback:369 | [61ea2997-8d66-430a-819f-c64b27240f91] Time to First Token (TTFT): 0.000s for introduction
2026-02-17 14:09:50.324 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=9, total_length=14
2026-02-17 14:09:50.324 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
2026-02-17 14:09:50.324 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-17 14:09:50.324 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=0.001s, response_length=14
2026-02-17 14:09:50.324 | INFO     | graph:stream_generator_to_callback:436 | [61ea2997-8d66-430a-819f-c64b27240f91] Stream finished in 0.001s for introduction
2026-02-17 14:09:50.324 | INFO     | graph:node_generate_response:573 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Response finished in 0.001s
2026-02-17 14:09:50.325 | INFO     | graph:node_generate_question:586 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Question
2026-02-17 14:09:50.325 | INFO     | graph:node_finalize:972 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Finalize
2026-02-17 14:09:50.325 | INFO     | graph:node_finalize:1030 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Finalize finished in 0.000s
2026-02-17 14:09:50.327 | INFO     | graph:node_analyze_input:168 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Analyze Input
2026-02-17 14:09:50.327 | ERROR    | stream.validation:decide_topic_switch_with_validation:157 | [VALIDATE] Error: 'MockGeminiClient' object has no attribute 'aio', defaulting to safe state
2026-02-17 14:09:50.327 | INFO     | graph:node_analyze_input:219 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Analyze Input finished in 0.000s
2026-02-17 14:09:50.327 | INFO     | graph:node_route_logic:260 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Route Logic
2026-02-17 14:09:50.327 | INFO     | graph:node_route_logic:345 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Route Logic finished in 0.000s
2026-02-17 14:09:50.328 | INFO     | graph:node_generate_response:446 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Response (feedback)
2026-02-17 14:09:50.328 | INFO     | stream.response_generators:generate_feedback_response_stream:54 | generate_feedback_response_stream started | object=apple, age=6
2026-02-17 14:09:50.328 | INFO     | graph:stream_generator_to_callback:369 | [61ea2997-8d66-430a-819f-c64b27240f91] Time to First Token (TTFT): 0.000s for feedback
2026-02-17 14:09:50.328 | INFO     | stream.response_generators:generate_feedback_response_stream:109 | generate_feedback_response_stream completed | duration=0.000s, length=14
2026-02-17 14:09:50.328 | INFO     | graph:stream_generator_to_callback:436 | [61ea2997-8d66-430a-819f-c64b27240f91] Stream finished in 0.000s for feedback
2026-02-17 14:09:50.328 | INFO     | graph:node_generate_response:573 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Response finished in 0.000s
2026-02-17 14:09:50.328 | INFO     | graph:node_generate_question:586 | [61ea2997-8d66-430a-819f-c64b27240f91] Node: Generate Question
2026-02-17 14:09:50.328 | INFO     | stream.question_generators:generate_followup_question_stream:222 | generate_followup_question_stream started | object=apple, age=6, is_switch=False
2026-02-17 14:09:50.329 | INFO     | graph:stream_generator_to_callback:369 | [61ea2997-8d66-430a-819f-c64b27240f91] Time to First Token (TTFT): 0.000s for followup_question
2026-02-17 14:09:50.329 | INFO     | stream.question_generators:generate_followup_question_stream:280 | generate_followup_question_stream completed | duration=0.000s, length=28
2026-02-17 14:09:50.329 | INFO     | graph:stream_generator_to_callback:436 | [61ea2997-8d66-430a-819f-c64b27240f91] Stream finished in 0.000s for followup_question
