2026-02-05 14:24:40.301 | INFO     | graph:node_generate_fun_fact:169 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Fun Fact for 'banana'
2026-02-05 14:24:40.302 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'banana' (model=gemini-2.5-flash-lite)
2026-02-05 14:24:45.044 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 4.741s | text_length=1272
2026-02-05 14:24:45.045 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'banana'
2026-02-05 14:24:46.623 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 1.578s
2026-02-05 14:24:46.624 | INFO     | stream.fun_fact:cache_fun_fact:78 | [FUN_FACT] Cached 4 fun facts for 'banana'
2026-02-05 14:24:46.624 | INFO     | stream.fun_fact:generate_fun_fact:206 | [FUN_FACT] Success for 'banana' | facts_count=4, selected='Did you know that bananas are picked when they are still gre...'
2026-02-05 14:24:46.624 | INFO     | graph:node_generate_fun_fact:181 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Fun Fact finished in 6.323s
2026-02-05 14:24:46.625 | INFO     | graph:node_generate_response:378 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response (introduction)
2026-02-05 14:24:46.625 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=banana, age=6, has_fun_fact=True
2026-02-05 14:24:46.625 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-05 14:24:46.626 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-05 14:24:46.626 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: generator
2026-02-05 14:24:47.950 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=5, total_length=5
2026-02-05 14:24:47.950 | INFO     | graph:stream_generator_to_callback:302 | [886d49e5-c918-4ca1-9711-f8777f34919f] Time to First Token (TTFT): 1.325s for introduction
2026-02-05 14:24:47.978 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=13, total_length=18
2026-02-05 14:24:48.019 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 3 | length=67, total_length=85
2026-02-05 14:24:48.056 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 4 | length=89, total_length=174
2026-02-05 14:24:48.132 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 5 | length=102, total_length=276
2026-02-05 14:24:48.136 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
2026-02-05 14:24:48.137 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-05 14:24:48.137 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=1.512s, response_length=276
2026-02-05 14:24:48.138 | INFO     | graph:stream_generator_to_callback:369 | [886d49e5-c918-4ca1-9711-f8777f34919f] Stream finished in 1.512s for introduction
2026-02-05 14:24:48.138 | INFO     | graph:node_generate_response:505 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response finished in 1.513s
2026-02-05 14:24:48.139 | INFO     | graph:node_generate_question:517 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Question
2026-02-05 14:24:48.140 | INFO     | graph:node_finalize:577 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize
2026-02-05 14:24:48.141 | INFO     | graph:node_finalize:622 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize finished in 0.000s
2026-02-05 14:26:57.202 | INFO     | graph:node_analyze_input:95 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Analyze Input
2026-02-05 14:26:58.812 | INFO     | stream.validation:decide_topic_switch_with_validation:140 | [VALIDATE] LLM Call Duration: 1.609s (using gemini-2.5-flash-lite async)
2026-02-05 14:26:58.812 | INFO     | stream.validation:decide_topic_switch_with_validation:145 | [VALIDATE] CONTINUE | new_object=None, engaged=True, correct=True, switch_reasoning=The child answered the question about the banana., correctness_reasoning=Bananas are generally soft when ripe.
2026-02-05 14:26:58.813 | INFO     | graph:node_analyze_input:159 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Analyze Input finished in 1.610s
2026-02-05 14:26:58.813 | INFO     | graph:node_route_logic:195 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Route Logic
2026-02-05 14:26:58.814 | INFO     | graph:node_route_logic:278 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Route Logic finished in 0.000s
2026-02-05 14:26:58.814 | INFO     | graph:node_generate_response:378 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response (feedback)
2026-02-05 14:26:58.815 | INFO     | stream.response_generators:generate_feedback_response_stream:54 | generate_feedback_response_stream started | object=banana, age=6
2026-02-05 14:27:00.089 | INFO     | graph:stream_generator_to_callback:302 | [886d49e5-c918-4ca1-9711-f8777f34919f] Time to First Token (TTFT): 1.275s for feedback
2026-02-05 14:27:00.233 | INFO     | stream.response_generators:generate_feedback_response_stream:109 | generate_feedback_response_stream completed | duration=1.418s, length=91
2026-02-05 14:27:00.233 | INFO     | graph:stream_generator_to_callback:369 | [886d49e5-c918-4ca1-9711-f8777f34919f] Stream finished in 1.419s for feedback
2026-02-05 14:27:00.234 | INFO     | graph:node_generate_response:505 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response finished in 1.419s
2026-02-05 14:27:00.234 | INFO     | graph:node_generate_question:517 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Question
2026-02-05 14:27:00.235 | INFO     | stream.question_generators:generate_followup_question_stream:222 | generate_followup_question_stream started | object=banana, age=6, is_switch=False
2026-02-05 14:27:00.702 | INFO     | graph:stream_generator_to_callback:302 | [886d49e5-c918-4ca1-9711-f8777f34919f] Time to First Token (TTFT): 0.467s for followup_question
2026-02-05 14:27:00.819 | INFO     | stream.question_generators:generate_followup_question_stream:280 | generate_followup_question_stream completed | duration=0.585s, length=98
2026-02-05 14:27:00.820 | INFO     | graph:stream_generator_to_callback:369 | [886d49e5-c918-4ca1-9711-f8777f34919f] Stream finished in 0.585s for followup_question
2026-02-05 14:27:00.820 | INFO     | graph:node_generate_question:565 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Question finished in 0.586s
2026-02-05 14:27:00.821 | INFO     | graph:node_finalize:577 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize
2026-02-05 14:27:00.822 | INFO     | graph:node_finalize:622 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize finished in 0.000s
2026-02-05 14:29:26.010 | INFO     | graph:node_analyze_input:95 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Analyze Input
2026-02-05 14:29:27.633 | INFO     | stream.validation:decide_topic_switch_with_validation:140 | [VALIDATE] LLM Call Duration: 1.623s (using gemini-2.5-flash-lite async)
2026-02-05 14:29:27.634 | INFO     | stream.validation:decide_topic_switch_with_validation:145 | [VALIDATE] SWITCH | new_object=pizza, engaged=True, correct=False, switch_reasoning=The child explicitly mentioned a new object, pizza, instead of answering the question about the banana., correctness_reasoning=The answer 'pizza' is not related to the question about what makes a banana soft or what is on the outside of a banana.
2026-02-05 14:29:27.635 | INFO     | graph:node_analyze_input:159 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Analyze Input finished in 1.625s
2026-02-05 14:29:27.636 | INFO     | graph:node_route_logic:195 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Route Logic
2026-02-05 14:29:28.997 | INFO     | graph:node_route_logic:278 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Route Logic finished in 1.361s
2026-02-05 14:29:28.998 | INFO     | graph:node_generate_response:378 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response (topic_switch)
2026-02-05 14:29:28.998 | INFO     | stream.response_generators:generate_topic_switch_response_stream:327 | generate_topic_switch_response_stream started | the previous object -> pizza, age=6
2026-02-05 14:29:29.500 | INFO     | graph:stream_generator_to_callback:302 | [886d49e5-c918-4ca1-9711-f8777f34919f] Time to First Token (TTFT): 0.502s for topic_switch
2026-02-05 14:29:29.744 | INFO     | stream.response_generators:generate_topic_switch_response_stream:382 | generate_topic_switch_response_stream completed | duration=0.746s, length=198
2026-02-05 14:29:29.745 | INFO     | graph:stream_generator_to_callback:369 | [886d49e5-c918-4ca1-9711-f8777f34919f] Stream finished in 0.747s for topic_switch
2026-02-05 14:29:29.745 | INFO     | graph:node_generate_response:505 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Response finished in 0.747s
2026-02-05 14:29:29.746 | INFO     | graph:node_generate_question:517 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Question
2026-02-05 14:29:29.747 | INFO     | stream.question_generators:generate_followup_question_stream:222 | generate_followup_question_stream started | object=pizza, age=6, is_switch=True
2026-02-05 14:29:30.181 | INFO     | graph:stream_generator_to_callback:302 | [886d49e5-c918-4ca1-9711-f8777f34919f] Time to First Token (TTFT): 0.434s for followup_question
2026-02-05 14:29:30.310 | INFO     | stream.question_generators:generate_followup_question_stream:280 | generate_followup_question_stream completed | duration=0.564s, length=109
2026-02-05 14:29:30.311 | INFO     | graph:stream_generator_to_callback:369 | [886d49e5-c918-4ca1-9711-f8777f34919f] Stream finished in 0.564s for followup_question
2026-02-05 14:29:30.311 | INFO     | graph:node_generate_question:565 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Generate Question finished in 0.565s
2026-02-05 14:29:30.312 | INFO     | graph:node_finalize:577 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize
2026-02-05 14:29:30.313 | INFO     | graph:node_finalize:622 | [886d49e5-c918-4ca1-9711-f8777f34919f] Node: Finalize finished in 0.000s
2026-02-05 14:30:25.762 | INFO     | graph:node_generate_fun_fact:169 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Fun Fact for 'banana'
2026-02-05 14:30:25.762 | INFO     | stream.fun_fact:get_cached_fun_fact:63 | [FUN_FACT] Cache hit for 'banana' | fun_fact='Did you know that bananas don't grow on trees? They grow on ...'
2026-02-05 14:30:25.762 | INFO     | graph:node_generate_fun_fact:181 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Fun Fact finished in 0.001s
2026-02-05 14:30:25.763 | INFO     | graph:node_generate_response:378 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Response (introduction)
2026-02-05 14:30:25.764 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=banana, age=6, has_fun_fact=True
2026-02-05 14:30:25.764 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-05 14:30:25.764 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-05 14:30:25.765 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: generator
2026-02-05 14:30:26.237 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=5, total_length=5
2026-02-05 14:30:26.238 | INFO     | graph:stream_generator_to_callback:302 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Time to First Token (TTFT): 0.474s for introduction
2026-02-05 14:30:26.263 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=13, total_length=18
2026-02-05 14:30:26.325 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 3 | length=88, total_length=106
2026-02-05 14:30:26.369 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 4 | length=66, total_length=172
2026-02-05 14:30:26.458 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 5 | length=75, total_length=247
2026-02-05 14:30:26.460 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
2026-02-05 14:30:26.460 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-05 14:30:26.461 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=0.697s, response_length=247
2026-02-05 14:30:26.461 | INFO     | graph:stream_generator_to_callback:369 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Stream finished in 0.697s for introduction
2026-02-05 14:30:26.461 | INFO     | graph:node_generate_response:505 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Response finished in 0.698s
2026-02-05 14:30:26.462 | INFO     | graph:node_generate_question:517 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Question
2026-02-05 14:30:26.463 | INFO     | graph:node_finalize:577 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Finalize
2026-02-05 14:30:26.463 | INFO     | graph:node_finalize:622 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Finalize finished in 0.000s
2026-02-05 14:30:36.954 | INFO     | graph:node_analyze_input:95 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Analyze Input
2026-02-05 14:30:38.589 | INFO     | stream.validation:decide_topic_switch_with_validation:140 | [VALIDATE] LLM Call Duration: 1.635s (using gemini-2.5-flash-lite async)
2026-02-05 14:30:38.590 | INFO     | stream.validation:decide_topic_switch_with_validation:145 | [VALIDATE] CONTINUE | new_object=None, engaged=True, correct=True, switch_reasoning=The child answered the question about the banana., correctness_reasoning=Bananas are typically yellow when ripe.
2026-02-05 14:30:38.590 | INFO     | graph:node_analyze_input:159 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Analyze Input finished in 1.637s
2026-02-05 14:30:38.591 | INFO     | graph:node_route_logic:195 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Route Logic
2026-02-05 14:30:38.591 | INFO     | graph:node_route_logic:278 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Route Logic finished in 0.000s
2026-02-05 14:30:38.592 | INFO     | graph:node_generate_response:378 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Response (feedback)
2026-02-05 14:30:38.592 | INFO     | stream.response_generators:generate_feedback_response_stream:54 | generate_feedback_response_stream started | object=banana, age=6
2026-02-05 14:30:39.905 | INFO     | graph:stream_generator_to_callback:302 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Time to First Token (TTFT): 1.313s for feedback
2026-02-05 14:30:39.957 | INFO     | stream.response_generators:generate_feedback_response_stream:109 | generate_feedback_response_stream completed | duration=1.366s, length=72
2026-02-05 14:30:39.958 | INFO     | graph:stream_generator_to_callback:369 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Stream finished in 1.366s for feedback
2026-02-05 14:30:39.958 | INFO     | graph:node_generate_response:505 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Response finished in 1.367s
2026-02-05 14:30:39.959 | INFO     | graph:node_generate_question:517 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Node: Generate Question
2026-02-05 14:30:39.960 | INFO     | stream.question_generators:generate_followup_question_stream:222 | generate_followup_question_stream started | object=banana, age=6, is_switch=False
2026-02-05 14:30:40.413 | INFO     | graph:stream_generator_to_callback:302 | [411d3286-b8af-4dc3-9d03-7eac1414ddcb] Time to First Token (TTFT): 0.453s for followup_question
2026-02-05 14:30:40.519 | INFO     | stream.question_generators:generate_followup_question_stream:280 | generate_followup_question_stream completed | duration=0.559s, length=100
