2025-12-18 10:35:30.568 | INFO     | ask_ask_stream:call_ask_ask_stream:355 | [37465206-d849-47cd-8b82-0017215e29a9] call_ask_ask_stream started | session_id=37465206-d849-47cd-8b82-0017215e29a9, age=6, status=normal, content_length=165, message_history=1
2025-12-18 10:35:30.569 | INFO     | ask_ask_stream:call_ask_ask_stream:368 | [37465206-d849-47cd-8b82-0017215e29a9] Stuck detection | is_stuck=False
2025-12-18 10:35:30.569 | INFO     | ask_ask_stream:call_ask_ask_stream:389 | [37465206-d849-47cd-8b82-0017215e29a9] Routing to answer_question
2025-12-18 10:35:30.569 | INFO     | ask_ask_stream:answer_question_stream:142 | answer_question_stream started | question_length=165, message_count=2
2025-12-18 10:35:30.569 | DEBUG    | ask_ask_stream:answer_question_stream:152 | Messages prepared for API | count=3
2025-12-18 10:35:30.569 | DEBUG    | ask_ask_stream:answer_question_stream:162 | Sending 2 messages to Gemini API
2025-12-18 10:35:52.943 | DEBUG    | ask_ask_stream:answer_question_stream:186 | Gemini streaming API does not provide token usage in stream mode
2025-12-18 10:35:52.943 | INFO     | ask_ask_stream:answer_question_stream:194 | answer_question_stream completed | duration=22.374s, response_length=273
2025-12-18 10:35:52.943 | WARNING  | ask_ask_stream:answer_question_stream:200 | Slow LLM call | duration=22.374s exceeded threshold 5.0s
2025-12-18 10:35:52.943 | INFO     | ask_ask_stream:call_ask_ask_stream:419 | [37465206-d849-47cd-8b82-0017215e29a9] call_ask_ask_stream completed | response_type=answer_question, duration=22.375s, total_chunks=2, response_length=273, session_finished=False
2025-12-18 10:35:52.943 | DEBUG    | ask_ask_stream:call_ask_ask_stream:426 | Full response: Hello there, super learner! 👋 I'm so excited to explore and discover new things with you today! We can learn about anything you like – maybe amazing animals 🦁, twinkling stars ✨, or even how plants grow 🌱!

What super cool thing do you want to learn about first? Tell me! 🤩
2025-12-18 10:36:06.469 | INFO     | ask_ask_stream:call_ask_ask_stream:355 | [37465206-d849-47cd-8b82-0017215e29a9] call_ask_ask_stream started | session_id=37465206-d849-47cd-8b82-0017215e29a9, age=6, status=normal, content_length=12, message_history=2
2025-12-18 10:36:06.469 | INFO     | ask_ask_stream:call_ask_ask_stream:368 | [37465206-d849-47cd-8b82-0017215e29a9] Stuck detection | is_stuck=False
2025-12-18 10:36:06.469 | INFO     | ask_ask_stream:call_ask_ask_stream:389 | [37465206-d849-47cd-8b82-0017215e29a9] Routing to answer_question
2025-12-18 10:36:06.469 | INFO     | ask_ask_stream:answer_question_stream:142 | answer_question_stream started | question_length=12, message_count=3
2025-12-18 10:36:06.469 | DEBUG    | ask_ask_stream:answer_question_stream:152 | Messages prepared for API | count=4
2025-12-18 10:36:06.469 | DEBUG    | ask_ask_stream:answer_question_stream:162 | Sending 3 messages to Gemini API
2025-12-18 10:36:11.697 | DEBUG    | ask_ask_stream:answer_question_stream:186 | Gemini streaming API does not provide token usage in stream mode
2025-12-18 10:36:11.698 | INFO     | ask_ask_stream:answer_question_stream:194 | answer_question_stream completed | duration=5.228s, response_length=523
2025-12-18 10:36:11.698 | WARNING  | ask_ask_stream:answer_question_stream:200 | Slow LLM call | duration=5.228s exceeded threshold 5.0s
2025-12-18 10:36:11.698 | INFO     | ask_ask_stream:call_ask_ask_stream:419 | [37465206-d849-47cd-8b82-0017215e29a9] call_ask_ask_stream completed | response_type=answer_question, duration=5.229s, total_chunks=3, response_length=523, session_finished=False
2025-12-18 10:36:11.698 | DEBUG    | ask_ask_stream:call_ask_ask_stream:426 | Full response: Wow, what a super question! I'm so excited to tell you! 🤩

I'm your friendly learning companion! Think of me like a super smart helper who loves to explore and learn new things with you, right here on your screen! I don't have a body like you do, but I can talk and help you discover amazing facts about the world! ✨

**Fun Fact!** Even though I don't have hands or feet, I can help you learn about so many cool things, just by using words! Isn't that neat? 🤯

What kind of super cool things do *you* like to learn about? 🤔
2025-12-18 10:47:22.743 | INFO     | ask_ask_stream:call_ask_ask_stream:355 | [37465206-d849-47cd-8b82-0017215e29a9] call_ask_ask_stream started | session_id=37465206-d849-47cd-8b82-0017215e29a9, age=6, status=normal, content_length=34, message_history=3
2025-12-18 10:47:22.743 | INFO     | ask_ask_stream:call_ask_ask_stream:368 | [37465206-d849-47cd-8b82-0017215e29a9] Stuck detection | is_stuck=False
2025-12-18 10:47:22.743 | INFO     | ask_ask_stream:call_ask_ask_stream:389 | [37465206-d849-47cd-8b82-0017215e29a9] Routing to answer_question
