2026-02-26 16:48:01.292 | INFO     | graph:node_generate_fun_fact:287 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Generate Fun Fact for 'apple'
2026-02-26 16:48:01.294 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-02-26 16:48:01.294 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 0.000s | text_length=141
2026-02-26 16:48:01.294 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-02-26 16:48:01.294 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'apple'
2026-02-26 16:48:01.294 | INFO     | theme_classifier:classify_object_to_theme:74 | [THEME_CLASSIFY] SUCCESS: apple -> nature | Concept: Change | Question: How does it change? | Thinking: Test
2026-02-26 16:48:01.294 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 0.000s
2026-02-26 16:48:01.294 | WARNING  | stream.fun_fact:generate_fun_fact:198 | [FUN_FACT] No fun facts in structured output for 'apple'
2026-02-26 16:48:01.294 | INFO     | graph:node_generate_fun_fact:302 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Generate Fun Fact finished in 0.002s
2026-02-26 16:48:01.295 | INFO     | graph:node_generate_intro:318 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Generate Intro for 'apple'
2026-02-26 16:48:01.295 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: MockStream
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=7, total_length=7
2026-02-26 16:48:01.295 | INFO     | graph:stream_generator_to_callback:373 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] TTFT: 0.005s for introduction
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=6, total_length=13
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 3 | length=5, total_length=18
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 4 | length=6, total_length=24
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 5 | length=4, total_length=28
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 6 | length=8, total_length=36
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 7 | length=5, total_length=41
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 8 | length=6, total_length=47
2026-02-26 16:48:01.295 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 9 | length=3, total_length=50
2026-02-26 16:48:01.296 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 10 | length=4, total_length=54
2026-02-26 16:48:01.296 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
